,Unnamed: 0,Item1,Item2,book,chapter,sentences_index,contain_ren,Start,End
306,14034,知,仁,analects,雍也,215,True,-480,-350
307,14038,者,仁,analects,雍也,215,True,-480,-350
308,14045,者,仁,analects,雍也,215,True,-480,-350
309,14048,动,仁,analects,雍也,215,True,-480,-350
310,14055,动,仁,analects,雍也,215,True,-480,-350
311,14058,仁,者,analects,雍也,215,True,-480,-350
312,14059,仁,静,analects,雍也,215,True,-480,-350
313,14060,仁,；,analects,雍也,215,True,-480,-350
314,14061,仁,知,analects,雍也,215,True,-480,-350
315,14062,仁,者,analects,雍也,215,True,-480,-350
316,14063,仁,乐,analects,雍也,215,True,-480,-350
317,14064,仁,仁,analects,雍也,215,True,-480,-350
318,14065,仁,者,analects,雍也,215,True,-480,-350
319,14066,仁,寿,analects,雍也,215,True,-480,-350
320,14072,者,仁,analects,雍也,215,True,-480,-350
321,14079,静,仁,analects,雍也,215,True,-480,-350
322,14085,；,仁,analects,雍也,215,True,-480,-350
323,14090,知,仁,analects,雍也,215,True,-480,-350
324,14094,者,仁,analects,雍也,215,True,-480,-350
325,14097,乐,仁,analects,雍也,215,True,-480,-350
326,14100,仁,者,analects,雍也,215,True,-480,-350
327,14101,仁,寿,analects,雍也,215,True,-480,-350
328,14192,仁,者,analects,雍也,219,True,-480,-350
329,14193,仁,虽,analects,雍也,219,True,-480,-350
330,14194,仁,告,analects,雍也,219,True,-480,-350
331,14195,仁,之,analects,雍也,219,True,-480,-350
332,14196,仁,曰,analects,雍也,219,True,-480,-350
333,14208,井,仁,analects,雍也,220,True,-480,-350
334,14210,有,仁,analects,雍也,220,True,-480,-350
335,14212,仁,焉,analects,雍也,220,True,-480,-350
336,14481,可,仁,analects,雍也,228,True,-480,-350
337,14483,谓,仁,analects,雍也,228,True,-480,-350
338,14485,仁,乎,analects,雍也,228,True,-480,-350
339,15063,志,仁,analects,述而,235,True,-480,-350
340,15073,于,仁,analects,述而,235,True,-480,-350
341,15082,道,仁,analects,述而,235,True,-480,-350
342,15090,据,仁,analects,述而,235,True,-480,-350
343,15097,于,仁,analects,述而,235,True,-480,-350
344,15103,德,仁,analects,述而,235,True,-480,-350
345,15108,依,仁,analects,述而,235,True,-480,-350
346,15112,于,仁,analects,述而,235,True,-480,-350
347,15116,仁,游,analects,述而,235,True,-480,-350
348,15117,仁,于,analects,述而,235,True,-480,-350
349,15118,仁,艺,analects,述而,235,True,-480,-350
350,17360,仁,远,analects,述而,268,True,-480,-350
351,17361,仁,乎,analects,述而,268,True,-480,-350
352,17362,仁,哉,analects,述而,268,True,-480,-350
353,17367,我,仁,analects,述而,269,True,-480,-350
354,17369,我,仁,analects,述而,269,True,-480,-350
355,17372,欲,仁,analects,述而,269,True,-480,-350
356,17374,欲,仁,analects,述而,269,True,-480,-350
357,17377,仁,斯,analects,述而,269,True,-480,-350
358,17378,仁,仁,analects,述而,269,True,-480,-350
359,17379,仁,至,analects,述而,269,True,-480,-350
360,17380,仁,矣,analects,述而,269,True,-480,-350
361,17381,斯,仁,analects,述而,269,True,-480,-350
362,17384,仁,至,analects,述而,269,True,-480,-350
363,17385,仁,矣,analects,述而,269,True,-480,-350
364,17532,若,仁,analects,述而,274,True,-480,-350
365,17538,圣,仁,analects,述而,274,True,-480,-350
366,17543,与,仁,analects,述而,274,True,-480,-350
367,17548,仁,则,analects,述而,274,True,-480,-350
368,17549,仁,吾,analects,述而,274,True,-480,-350
369,17550,仁,岂,analects,述而,274,True,-480,-350
370,17551,仁,敢,analects,述而,274,True,-480,-350
371,18186,君子,仁,analects,泰伯,284,True,-480,-350
372,18202,笃,仁,analects,泰伯,284,True,-480,-350
373,18217,于,仁,analects,泰伯,284,True,-480,-350
374,18231,亲,仁,analects,泰伯,284,True,-480,-350
375,18244,则,仁,analects,泰伯,284,True,-480,-350
376,18256,民,仁,analects,泰伯,284,True,-480,-350
377,18267,兴,仁,analects,泰伯,284,True,-480,-350
378,18277,于,仁,analects,泰伯,284,True,-480,-350
379,18287,仁,；,analects,泰伯,284,True,-480,-350
380,18288,仁,故,analects,泰伯,284,True,-480,-350
381,18289,仁,旧,analects,泰伯,284,True,-480,-350
382,18290,仁,不,analects,泰伯,284,True,-480,-350
383,18291,仁,遗,analects,泰伯,284,True,-480,-350
384,18292,仁,则,analects,泰伯,284,True,-480,-350
385,18293,仁,民,analects,泰伯,284,True,-480,-350
386,18294,仁,不,analects,泰伯,284,True,-480,-350
387,18295,仁,偷,analects,泰伯,284,True,-480,-350
388,19771,仁,以,analects,泰伯,299,True,-480,-350
389,19772,仁,为,analects,泰伯,299,True,-480,-350
390,19773,仁,己,analects,泰伯,299,True,-480,-350
391,19774,仁,任,analects,泰伯,299,True,-480,-350
392,19775,仁,不,analects,泰伯,299,True,-480,-350
393,19776,仁,亦,analects,泰伯,299,True,-480,-350
394,19777,仁,重,analects,泰伯,299,True,-480,-350
395,19778,仁,乎,analects,泰伯,299,True,-480,-350
396,19915,人,仁,analects,泰伯,305,True,-480,-350
397,19923,而,仁,analects,泰伯,305,True,-480,-350
398,19930,不,仁,analects,泰伯,305,True,-480,-350
399,19937,仁,疾,analects,泰伯,305,True,-480,-350
400,19938,仁,之,analects,泰伯,305,True,-480,-350
401,19939,仁,已,analects,泰伯,305,True,-480,-350
402,19940,仁,甚,analects,泰伯,305,True,-480,-350
403,19941,仁,乱,analects,泰伯,305,True,-480,-350
